date,temperature,moisture,growth_stage,pump
2022-10-08,32.3,617,2,1
2022-10-09,31.8,699,1,1
2022-10-10,32.3,837,1,0
2022-10-11,32.3,414,3,1
2022-10-12,31.9,919,1,0
2022-10-13,31.7,307,1,1
2022-10-14,31.4,577,2,1
2022-10-15,30.9,688,1,1
2022-10-16,31.4,642,2,1
2022-10-17,33.1,506,3,1
2022-10-18,30.3,568,1,1
2022-10-19,30.3,526,3,1
2022-10-20,30.6,511,3,1
2022-10-21,30.5,727,1,0
2022-10-22,30.7,653,1,1
2022-10-23,30.3,496,3,1
2022-10-24,30.2,734,1,0
2022-10-25,30.6,646,2,1
2022-10-26,31.1,721,2,0
2022-10-27,30.8,694,1,1
2022-10-28,31.0,475,3,1
2022-10-29,30.2,515,1,1
2022-10-30,30.3,712,1,0
2022-10-31,30.5,691,3,0
2022-11-01,29.7,596,3,1
2022-11-02,28.6,617,2,1
2022-11-03,26.3,791,3,0
2022-11-04,25.7,511,2,1
2022-11-05,26.3,682,3,0
2022-11-06,27.2,569,1,1
2022-11-07,27.4,567,2,1
2022-11-08,26.9,764,2,0
2022-11-09,25.9,723,2,0
2022-11-10,27.8,722,1,0
2022-11-11,25.5,795,1,0
2022-11-12,25.1,603,1,1
2022-11-13,26.7,702,1,0
2022-11-14,27.9,553,1,1
2022-11-15,27.7,648,2,1
2022-11-16,26.8,580,1,1
2022-11-17,25.9,614,2,1
2022-11-18,26.4,689,1,1
2022-11-19,25.5,477,3,1
2022-11-20,24.6,913,2,0
2022-11-21,24.3,449,3,1
2022-11-22,25.4,417,2,1
2022-11-23,26.1,773,3,0
2022-11-24,21.9,718,1,0
2022-11-25,23.0,693,1,1
2022-11-26,24.0,694,1,1
2022-11-27,26.1,598,2,1
2022-11-28,26.9,465,3,1
2022-11-29,21.2,611,1,1
2022-11-30,21.8,498,3,1
2022-12-01,24.2,746,3,0
2022-12-02,24.9,577,1,1
2022-12-03,25.7,476,1,1
2022-12-04,25.2,551,3,1
2022-12-05,24.2,661,1,1
2022-12-06,23.3,515,1,1
2022-12-07,21.3,476,1,1
2022-12-08,21.4,636,2,1
2022-12-09,22.1,636,3,0
2022-12-10,21.1,523,3,1
2022-12-11,21.5,529,2,1
2022-12-12,23.2,634,3,0
2022-12-13,22.7,382,1,1
2022-12-14,22.6,388,3,1
2022-12-15,21.6,492,1,1
2022-12-16,22.0,567,2,1
2022-12-17,20.6,646,1,1
2022-12-18,21.2,821,3,0
2022-12-19,21.6,728,3,0
2022-12-20,21.6,576,3,1
2022-12-21,21.7,597,2,1
2022-12-22,22.7,449,2,1
2022-12-23,18.9,597,3,0
2022-12-24,16.2,556,1,0
2022-12-25,17.4,648,2,0
2022-12-26,17.3,475,3,0
2022-12-27,16.4,677,3,0
2022-12-28,14.3,829,2,0
2022-12-29,17.2,583,2,0
2022-12-30,17.4,660,2,0
2022-12-31,19.1,703,1,0
2023-01-01,18.8,539,1,0
2023-01-02,15.6,633,3,0
2023-01-03,16.6,601,2,0
2023-01-04,15.8,614,1,0
2023-01-05,14.9,484,2,0
2023-01-06,14.6,603,3,0
2023-01-07,14.7,674,1,0
2023-01-08,18.1,817,1,0
2023-01-09,18.8,743,1,0
2023-01-10,15.3,922,3,0
2023-01-11,14.9,484,2,0
2023-01-12,16.9,730,1,0
2023-01-13,18.2,627,3,0
2023-01-14,18.9,928,2,0
2023-01-15,19.5,478,3,0
2023-01-16,20.3,474,2,1
2023-01-17,17.2,510,3,0
2023-01-18,16.6,281,2,0
2023-01-19,18.3,521,1,0
2023-01-20,19.7,486,2,0
2023-01-21,21.7,622,3,0
2023-01-22,22.3,651,3,0
2023-01-23,22.4,881,2,0
2023-01-24,21.6,742,1,0
2023-01-25,19.4,513,1,0
2023-01-26,18.5,465,2,0
2023-01-27,18.7,673,2,0
2023-01-28,20.6,401,3,1
2023-01-29,21.2,874,1,0
2023-01-30,22.7,776,2,0
2023-01-31,23.5,529,1,1
2023-02-01,19.4,343,2,0
2023-02-02,16.4,803,2,0
2023-02-03,17.1,582,1,0
2023-02-04,18.6,785,2,0
2023-02-05,20.1,360,2,1
2023-02-06,20.6,510,3,1
2023-02-07,18.6,600,2,0
2023-02-08,17.2,607,2,0
2023-02-09,18.1,532,2,0
2023-02-10,21.2,693,3,0
2023-02-11,23.2,439,1,1
2023-02-12,22.9,578,3,1
2023-02-13,21.2,618,3,0
2023-02-14,21.1,677,1,1
2023-02-15,18.2,706,3,0
2023-02-16,17.2,431,1,0
2023-02-17,17.7,369,3,0
2023-02-18,17.9,791,1,0
2023-02-19,19.7,649,2,0
2023-02-20,21.6,487,3,1
2023-02-21,23.8,832,3,0
2023-02-22,24.1,617,3,0
2023-02-23,22.8,776,3,0
2023-02-24,22.0,610,2,1
2023-02-25,22.2,909,3,0
2023-02-26,23.1,863,2,0
2023-02-27,22.8,562,2,1
2023-02-28,23.5,745,2,0
2023-03-01,24.8,696,2,1
2023-03-02,26.5,805,1,0
2023-03-03,29.3,455,1,1
2023-03-04,27.4,702,3,0
2023-03-05,29.4,758,1,0
2023-03-06,29.8,336,1,1
2023-03-07,28.8,422,3,1
2023-03-08,28.3,294,3,1
2023-03-09,24.3,559,3,1
2023-03-10,23.1,707,1,0
2023-03-11,22.6,825,1,0
2023-03-12,21.3,611,3,0
2023-03-13,21.8,844,2,0
2023-03-14,23.4,392,3,1
2023-03-15,23.2,344,2,1
2023-03-16,22.8,591,2,1
2023-03-17,24.7,657,3,0
2023-03-18,24.2,595,3,1
2023-03-19,23.4,289,3,1
2023-03-20,21.6,586,1,1
2023-03-21,20.3,404,2,1
2023-03-22,22.4,700,1,0
2023-03-23,24.7,654,1,1
2023-03-24,25.7,459,3,1
2023-03-25,25.9,522,1,1
2023-03-26,24.3,441,3,1
2023-03-27,24.3,590,2,1
2023-03-28,25.1,743,3,0
2023-03-29,27.0,452,1,1
2023-03-30,28.1,675,1,1
2023-03-31,24.2,520,3,1
2023-04-01,22.2,481,3,1
2023-04-02,24.8,583,1,1
2023-04-03,26.4,444,2,1
2023-04-04,27.7,516,2,1
2023-04-05,28.3,420,3,1
2023-04-06,28.7,894,2,0
2023-04-07,27.8,605,1,1
2023-04-08,27.7,495,3,1
2023-04-09,27.9,632,1,1
2023-04-10,25.5,583,1,1
2023-04-11,28.2,566,2,1
2023-04-12,22.8,692,3,0
2023-04-13,21.1,713,3,0
2023-04-14,26.1,520,2,1
2023-04-15,27.8,513,1,1
2023-04-16,27.3,558,1,1
2023-04-17,27.5,254,1,1
2023-04-18,26.2,372,1,1
2023-04-19,25.1,805,3,0
2023-04-20,27.2,846,3,0
2023-04-21,29.1,562,2,1
2023-04-22,29.6,686,2,1
2023-04-23,29.4,646,3,0
2023-04-24,26.9,1023,3,0
2023-04-25,28.5,767,1,0
2023-04-26,29.1,580,1,1
2023-04-27,29.8,456,2,1
2023-04-28,29.4,359,3,1
2023-04-29,28.4,630,2,1
2023-04-30,27.4,486,3,1
2023-05-01,27.9,386,1,1
2023-05-02,29.7,503,2,1
2023-05-03,31.0,437,2,1
2023-05-04,32.0,853,3,0
2023-05-05,32.0,732,1,0
2023-05-06,32.9,598,2,1
2023-05-07,32.6,821,1,0
2023-05-08,30.9,611,2,1
2023-05-09,29.3,470,1,1
2023-05-10,30.4,828,3,0
2023-05-11,32.1,680,2,1
2023-05-12,33.4,444,2,1
2023-05-13,34.8,571,1,1
2023-05-14,35.1,468,1,1
2023-05-15,35.2,392,2,1
2023-05-16,34.7,738,3,0
2023-05-17,34.9,886,1,0
2023-05-18,34.4,390,1,1
2023-05-19,33.4,684,1,1
2023-05-20,31.4,502,2,1
2023-05-21,31.2,526,2,1
2023-05-22,32.8,511,2,1
2023-05-23,34.6,470,2,1
2023-05-24,31.7,607,3,0
2023-05-25,29.2,475,3,1
2023-05-26,32.0,640,2,1
2023-05-27,35.4,592,3,1
2023-05-28,32.9,564,1,1
2023-05-29,29.4,463,1,1
2023-05-30,32.4,513,1,1
2023-05-31,33.1,713,2,0
2023-06-01,34.0,675,1,1
2023-06-02,34.8,453,3,1
2023-06-03,34.3,614,2,1
2023-06-04,33.9,712,3,0
2023-06-05,33.6,349,1,1
2023-06-06,34.9,681,1,1
2023-06-07,36.1,500,1,1
2023-06-08,36.8,685,2,1
2023-06-09,37.5,485,3,1
2023-06-10,37.9,329,2,1
2023-06-11,36.6,355,2,1
2023-06-12,34.1,607,1,1
2023-06-13,35.2,638,2,1
2023-06-14,37.3,464,2,1
2023-06-15,38.1,695,1,1
2023-06-16,36.3,350,2,1
2023-06-17,35.7,590,1,1
2023-06-18,37.2,418,1,1
2023-06-19,38.4,502,1,1
2023-06-20,38.1,607,1,1
2023-06-21,36.9,470,2,1
2023-06-22,37.1,542,1,1
2023-06-23,37.4,750,1,0
2023-06-24,38.1,513,2,1
2023-06-25,38.6,725,2,0
2023-06-26,38.4,430,3,1
2023-06-27,39.1,679,2,1
2023-06-28,38.9,816,2,0
2023-06-29,38.9,229,3,1
2023-06-30,39.1,480,2,1
2023-07-01,37.4,686,2,1
2023-07-02,37.2,569,2,1
2023-07-03,37.4,655,2,1
2023-07-04,38.7,509,3,1
2023-07-05,39.0,612,2,1
2023-07-06,39.6,576,2,1
2023-07-07,38.8,775,3,0
2023-07-08,37.8,638,1,1
2023-07-09,36.6,650,3,0
2023-07-10,36.1,538,1,1
2023-07-11,36.5,526,3,1
2023-07-12,38.7,535,3,1
2023-07-13,40.5,659,2,1
2023-07-14,40.6,536,1,1
2023-07-15,40.3,643,2,1
2023-07-16,41.2,911,1,0
2023-07-17,41.0,730,3,0
2023-07-18,40.2,551,3,1
2023-07-19,39.3,780,1,0
2023-07-20,37.8,538,2,1
2023-07-21,37.6,294,2,1
2023-07-22,38.8,448,2,1
2023-07-23,38.7,319,2,1
2023-07-24,38.3,547,3,1
2023-07-25,38.1,602,3,0
2023-07-26,38.3,851,3,0
2023-07-27,38.1,649,3,0
2023-07-28,38.6,567,3,1
2023-07-29,37.9,724,2,0
2023-07-30,37.2,268,2,1
2023-07-31,36.7,635,2,1
2023-08-01,36.1,715,2,0
2023-08-02,37.4,378,3,1
2023-08-03,37.9,771,3,0
2023-08-04,38.1,650,3,0
2023-08-05,37.2,537,1,1
2023-08-06,36.5,694,2,1
2023-08-07,35.3,940,2,0
2023-08-08,36.9,627,3,0
2023-08-09,37.5,637,2,1
2023-08-10,38.1,531,2,1
2023-08-11,38.7,472,3,1
2023-08-12,39.1,724,1,0
2023-08-13,39.4,471,1,1
2023-08-14,39.6,610,1,1
2023-08-15,40.6,528,3,1
2023-08-16,40.9,671,2,1
2023-08-17,39.8,650,3,0
2023-08-18,40.2,755,3,0
2023-08-19,40.7,523,2,1
2023-08-20,40.2,559,1,1
2023-08-21,39.4,453,1,1
2023-08-22,39.2,533,3,1
2023-08-23,39.3,656,1,1
2023-08-24,38.4,713,3,0
2023-08-25,39.9,461,3,1
2023-08-26,40.6,730,2,0
2023-08-27,40.2,803,2,0
2023-08-28,38.6,662,2,1
2023-08-29,36.5,881,3,0
2023-08-30,36.2,483,2,1
2023-08-31,36.2,413,1,1
2023-09-01,38.4,333,1,1
2023-09-02,38.6,824,3,0
2023-09-03,38.1,698,3,0
2023-09-04,39.3,591,2,1
2023-09-05,38.6,641,3,0
2023-09-06,38.6,431,3,1
2023-09-07,38.1,966,1,0
2023-09-08,38.8,619,1,1
2023-09-09,38.7,616,2,1
2023-09-10,38.6,708,3,0
2023-09-11,38.0,672,3,0
2023-09-12,37.9,633,1,1
2023-09-13,37.4,481,3,1
2023-09-14,36.3,670,1,1
2023-09-15,38.3,882,2,0
2023-09-16,38.0,801,1,0
2023-09-17,38.2,838,3,0
2023-09-18,38.1,523,2,1
2023-09-19,37.3,451,1,1
2023-09-20,38.0,581,1,1
2023-09-21,36.9,608,2,1
2023-09-22,38.3,764,2,0
2023-09-23,39.2,346,1,1
2023-09-24,38.6,829,3,0
2023-09-25,38.4,576,1,1
2023-09-26,39.4,535,2,1
2023-09-27,38.3,448,1,1
2023-09-28,37.2,351,2,1
2023-09-29,37.5,723,2,0
2023-09-30,37.5,610,3,0
2023-10-01,37.5,406,2,1
2023-10-02,36.2,405,2,1
2023-10-03,35.8,549,3,1
2023-10-04,35.3,850,2,0
2023-10-05,35.7,561,3,1
2023-10-06,34.8,374,3,1
2023-10-07,34.3,563,2,1
2023-10-08,34.4,559,2,1
2023-10-09,34.6,195,1,1
2023-10-10,34.8,591,3,1
2023-10-11,34.2,565,1,1
2023-10-12,34.0,704,2,0
2023-10-13,33.2,877,1,0
2023-10-14,32.8,768,3,0
2023-10-15,32.7,559,1,1
2023-10-16,32.4,434,3,1
2023-10-17,31.7,986,2,0
2023-10-18,31.5,608,2,1
2023-10-19,31.3,602,3,0
2023-10-20,31.6,596,2,1
2023-10-21,32.2,629,2,1
2023-10-22,32.3,578,2,1
2023-10-23,31.3,513,2,1
2023-10-24,31.1,517,3,1
2023-10-25,29.5,595,1,1
2023-10-26,27.8,518,1,1
2023-10-27,28.3,493,2,1
2023-10-28,28.8,615,1,1
2023-10-29,22.5,561,1,1
2023-10-30,24.8,825,2,0
2023-10-31,27.4,202,2,1
2023-11-01,27.8,763,1,0
2023-11-02,26.8,786,3,0
2023-11-03,28.1,288,2,1
2023-11-04,28.4,548,3,1
2023-11-05,28.7,544,1,1
2023-11-06,28.4,388,2,1
2023-11-07,27.8,483,3,1
2023-11-08,28.2,433,2,1
2023-11-09,28.7,862,1,0
2023-11-10,27.7,740,3,0
2023-11-11,27.5,790,1,0
2023-11-12,27.9,708,1,0
2023-11-13,28.5,430,2,1
2023-11-14,27.7,521,3,1
2023-11-15,26.7,673,1,1
2023-11-16,24.9,416,1,1
2023-11-17,25.8,706,3,0
2023-11-18,27.4,563,1,1
2023-11-19,26.9,543,1,1
2023-11-20,24.1,706,3,0
2023-11-21,23.5,666,3,0
2023-11-22,25.2,545,3,1
2023-11-23,27.0,773,3,0
2023-11-24,26.6,437,2,1
2023-11-25,25.8,692,3,0
2023-11-26,27.3,688,2,1
2023-11-27,27.2,553,2,1
2023-11-28,26.0,648,2,1
2023-11-29,24.2,412,1,1
2023-11-30,25.6,738,2,0
2023-12-01,26.7,572,2,1
2023-12-02,26.7,521,1,1
2023-12-03,25.6,757,1,0
2023-12-04,25.4,494,1,1
2023-12-05,24.0,388,3,1
2023-12-06,23.1,366,1,1
2023-12-07,24.6,690,1,1
2023-12-08,25.6,407,2,1
2023-12-09,23.9,863,1,0
2023-12-10,24.7,287,3,1
2023-12-11,23.8,854,1,0
2023-12-12,20.8,631,3,0
2023-12-13,19.2,585,1,0
2023-12-14,18.8,518,1,0
2023-12-15,19.4,659,1,0
2023-12-16,19.7,594,1,0
2023-12-17,20.1,765,3,0
2023-12-18,19.4,617,3,0
2023-12-19,19.8,622,2,0
2023-12-20,20.8,545,3,1
2023-12-21,23.2,591,1,1
2023-12-22,22.3,646,2,1
2023-12-23,20.4,343,2,1
2023-12-24,18.9,397,2,0
2023-12-25,20.7,711,1,0
2023-12-26,23.0,625,3,0
2023-12-27,22.6,572,1,1
2023-12-28,21.3,602,2,1
2023-12-29,21.1,652,1,1
2023-12-30,19.4,519,1,0
2023-12-31,18.6,483,3,0
